AJ319543.1,FJ375502.1.1466,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Aquabacterium,uncultured bacterium,
AJ319544.1,FJ375502.1.1466,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Aquabacterium,uncultured bacterium,
AJ319545.1,FJ375502.1.1466,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Aquabacterium,uncultured bacterium,
AJ319546.1,KF799961.1.1496,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Aquabacterium,uncultured bacterium,
AJ319547.1,FJ375502.1.1466,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Aquabacterium,uncultured bacterium,
AJ319548.1,FJ375502.1.1466,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Aquabacterium,uncultured bacterium,
AJ319549.1,FJ375502.1.1466,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Aquabacterium,uncultured bacterium,
AJ319550.1,AB663360.1.1472,Archaea,Halobacterota,Halobacteria,Halobacterales,Halobacteriaceae,Halobacterium,Halobacterium noricense,
AJ319551.1,AB663360.1.1472,Archaea,Halobacterota,Halobacteria,Halobacterales,Halobacteriaceae,Halobacterium,Halobacterium noricense,
AJ319552.1,AB663360.1.1472,Archaea,Halobacterota,Halobacteria,Halobacterales,Halobacteriaceae,Halobacterium,Halobacterium noricense,
AJ319553.1,AB663360.1.1472,Archaea,Halobacterota,Halobacteria,Halobacterales,Halobacteriaceae,Halobacterium,Halobacterium noricense,
AJ319554.1,AB663360.1.1472,Archaea,Halobacterota,Halobacteria,Halobacterales,Halobacteriaceae,Halobacterium,Halobacterium noricense,
AJ319555.1,AB663360.1.1472,Archaea,Halobacterota,Halobacteria,Halobacterales,Halobacteriaceae,Halobacterium,Halobacterium noricense,
AJ319556.1,AB663360.1.1472,Archaea,Halobacterota,Halobacteria,Halobacterales,Halobacteriaceae,Halobacterium,Halobacterium noricense,
AJ319557.1,AB663360.1.1472,Archaea,Halobacterota,Halobacteria,Halobacterales,Halobacteriaceae,Halobacterium,Halobacterium noricense,
AJ319558.1,AB663360.1.1472,Archaea,Halobacterota,Halobacteria,Halobacterales,Halobacteriaceae,Halobacterium,Halobacterium noricense,
AJ319559.1,AB663360.1.1472,Archaea,Halobacterota,Halobacteria,Halobacterales,Halobacteriaceae,Halobacterium,Halobacterium noricense,
